idx,title,genres
618,Terminator Salvation (2009),1|4|22
619,Happy Feet (2006),12|49
620,Alice Through the Looking Glass (2016),0|8
621,The Giver (2014),1|4|5|8|22
622,Mr. Popper's Penguins (2011),23
623,Mad Hot Ballroom (2005),109
624,Halloween H20: 20 Years Later (1998),6|13|88
625,Junior (1994),4|23|25
626,Blades of Glory (2007),12|23
627,The Punisher (1989),1|6|16
628,Gulliver's Travels (2010),0|4|8|23|53
629,Mortal Kombat (1995),0|1|2|67
630,Next (2007),1|4|6
631,Resident Evil: Afterlife (2010),1|4|6|13|20|68|103
632,Pearl Harbor (2001),5|10|55
633,Men in Black III (2012),1|4|23
634,Underworld: Awakening (2012),0|1|6|13|68|78
635,American Sniper (2014),1|5|10|11
636,Must Love Dogs (2005),25
637,Spider-Man 3 (2007),1|4|5|6|46
638,Babes in Toyland (1961),0|49|53|64
639,Lara Croft: Tomb Raider (2001),0|1|2|4|31|68
640,Harold & Kumar Escape from Guantanamo Bay (2008),12|23
641,The Next Best Thing (2000),5|17|23|32
642,3 Ninjas (1992),1|23|67
643,Bedtime Stories (2008),0|23|53
644,Super Mario Bros. (1993),0|1|4|8|12|22
645,Prince of Persia: The Sands of Time (2010),0|1|59
646,The Punisher (2004),1|5|6|16
647,Star Trek V: The Final Frontier (1989),1|2|4
648,Bedknobs and Broomsticks (1971),0|2|5|8|10|23|49|53
649,Insurgent (2015),1|2|4|8|20|22|55
650,The Rugrats Movie (1998),12|49|53
651,Dirty Dancing: Havana Nights (2004),5|25|26|37|49|55
652,The Twilight Saga: Breaking Dawn - Part 2 (2012),0|5|8|37|55|78
653,Cheaper by the Dozen 2 (2005),23
654,Underworld: Evolution (2006),0|1|6|13|68|78
655,The Number 23 (2007),5|6|35
656,Everest (1998),109
657,Stuart Little (1999),8|23|53
658,Bad Santa (2003),16|23|64
659,The 39 Steps (1935),8|16|35|48
660,This Means War (2012),1|25|48
661,Tinker Tailor Soldier Spy (2011),5|6|8|35|48
662,Apollo 13 (1995),2|5|8|40|43|44|45
663,The Cabin in the Woods (2012),4|32|56|73|88|103
664,Kill Bill: Vol. 1 (2003),1|21|28|66|67|68|69|70
665,Harry Potter and the Goblet of Fire (2005),0|2|8|53
666,Hot Tub Time Machine 2 (2015),4|23
667,The Golden Compass (2007),0|1|4|8
668,Dances with Wolves (1990),2|5|10|51
669,Daddy's Home (2015),23
670,The Other Guys (2010),1|23|42
671,The Watch (2012),1|4|23|81
672,Vicky Cristina Barcelona (2008),5|17|25|32
673,Alice in Wonderland (1951),0|2|8|26|49|50|53
674,Cop Out (2010),12|23|42
675,Semi-Pro (2008),23
676,The Killing (1956),5|8|28|34|58
677,JFK (1991),5|8|11|16|35|45|75
678,Foxfire (1996),5|8|26|37|97
679,Into the Woods (2014),0|49
680,Death Note (2017),6|13
681,Angels & Demons (2009),4|5|8|35|52
682,How to Train Your Dragon 2 (2014),0|1|2|8|23|53
683,The Parent Trap (1961),5|8|25|49|53|72
684,Batman (1989),1|36|46
685,Citizenfour (2014),109
686,Limitless (2011),1|4|5|6|8
687,Snowden (2016),1|5|6|11
688,The Wicker Man (2006),13|16|22|35
689,Hide and Seek (2005),5|6|13|35
690,Spriggan,4|130|134
691,X-Men: Days of Future Past (2014),1|4|6|22|46|79
692,The Avengers (1998),1|4|48
693,Full Metal Jacket (1987),5|8|10
694,Porco Rosso (1992),0|2|91|130
695,Happy Gilmore (1996),23
696,Rocky (1976),1|5|101
697,National Treasure: Book of Secrets (2007),1|2|6|31
698,Mission: Impossible III (2006),1|2|6|48
699,The River Wild (1994),1|2|5|6|16
700,Action Jackson (1988),1|23
701,Mary Poppins (1964),0|8|23|49|74
702,Pirates of the Caribbean: Dead Man's Chest (2006),0|1|2|23|31|59
703,Finding Nemo (2003),12
704,The Fox and the Hound (1981),5|8|12|26|32|49|50|53|74
705,The Blind Side (2009),5|8|11|32
706,Spirited Away (2001),0|5|26|53|91
707,9 (2009),0|1|2|4|20|29|35
708,101 Dalmatians (1961),0|2|5|8|16|23|49|50
709,The Rescuers (1977),0|8|12|26|32|49|50
710,Sleeping Beauty (1959),0|49|50|74
711,The Godfather: Part II (1974),5|8|16|28
712,The Black Cauldron (1985),0|2|8|26|49|50
713,The Fault in Our Stars (2014),5|8|23|55
714,Kiki's Delivery Service (1989),0|8|26|53|91
715,Planet Earth II (2016),132
716,March of the Penguins (2005),109|132
717,Lemony Snicket's A Series of Unfortunate Events (2004),0|2|5|8|23|53|74
718,The Return of Jafar (1994),0
719,All Dogs Go to Heaven 2 (1996),12|25|49
720,The Great Mouse Detective (1986),2|23|33|35|49|50|54|74
721,Hoodwinked! (2005),0|12|49|53
722,Shrek Forever After (2010),0|1|23|28|53
723,Jingle All the Way (1996),1|23|64|74
724,Twilight (2008),0|1|5|8|37|55|78
725,Shrek 2 (2004),0|1
726,Alvin and the Chipmunks (2007),0|23|49|64
727,Hotel Transylvania 2 (2015),0|56|73|78|103
728,Everest (2015),1|2|6|11|40|44
729,The Talented Mr. Ripley (1999),5|8|16|17
730,The Wolverine (2013),0|1|4|46
731,Notting Hill (1999),25|32
732,The Lone Ranger (2013),1|12|23|31|51
733,"I, Robot (2004)",1|4|8|22
734,Prometheus (2012),1|2|4|13|35|64
735,21 Jump Street (2012),1|12|16|23|37|42
736,Children of Men (2006),4|5|6|8|20|22
737,American Hustle (2013),5|16|23|34
738,Big Daddy (1999),23
739,The Sound of Music (1965),5|8|11|49|55
740,The Artist (2011),5|23|25|32|55|127
741,Her (2013),4|5|23|25
742,Mr. & Mrs. Smith (2005),1|25|65
743,Split (2016),6|13
744,Star Trek Into Darkness (2013),2|4|9
745,The Road (2009),5|8|20
746,The A-Team (2010),1|2|21|34|60
747,Tron: Legacy (2010),0|1|4
748,The Blues Brothers (1980),12|23|49
749,Moon (2009),4|5
750,Godzilla (2014),1|4|124
751,The Mask of Zorro (1998),1|2|34|46
752,Futurama: The Beast with a Billion Backs (2008),4|23|56|81
753,Planet Terror (2007),1|4|17|68|114|131
754,Blast from the Past (1999),17|25
755,Fantastic Four (2005),0|1|4|46
756,Wanted (2008),0|1|21|68
757,After the Sunset (2004),1|16|25|34
758,Get Hard (2015),12|17|23
759,The Rocketeer (1991),1|4|23|46
760,There's Something About Mary (1998),25
761,From Here to Eternity (1953),5|10|55
762,The Day the Earth Stood Still (2008),1|4|40
763,The Rage: Carrie 2 (1999),4|13|37|88|107
764,Timecop (1994),1|2|4|6|67
765,A Good Day to Die Hard (2013),1|21|42
766,X-Men (2000),0|1|4|21|46
767,Ransom (1996),1|5|16|35|36
768,Ghostbusters (1984),0|1|2|4|23|56|73
769,Dirty Grandpa (2016),23
770,Let's Be Cops (2014),1|12|23|42
771,Ted (2012),0|23|64
772,Déjà Vu (2006),1|4|6|48|52
773,Star Trek: Nemesis (2002),1|2|4
774,The Legend of Tarzan (2016),1|2
775,Death Becomes Her (1992),0|13|23
776,She's All That (1999),25|26
777,Premium Rush (2012),1|6
778,Chocolat (2000),5|8|24|55
779,How to Lose Friends & Alienate People (2008),8|17|23
780,Yogi Bear (2010),2|23|53|74|86
781,Logan (2017),1|4|5|22|44|46
782,The House of the Dead (2003),1|4|6|13|88|103|107
783,Jurassic Park (1993),1|2|4|8
784,Pirates of the Caribbean: On Stranger Tides (2011),0|1|2|23|31|59|103
785,Bad Teacher (2011),25
786,Gifted (2016),5
787,Ghost Rider (2007),0|1|13|46
788,Snakes on a Plane (2006),1|6|23|52|73
789,Despicable Me 2 (2013),2|4|23
790,Conquest of the Planet of the Apes (1972),1|4|22
791,AVPR: Aliens vs. Predator - Requiem (2007),1|4|6|29|38|79|121
792,Hot Fuzz (2007),1|12|16|23|62
793,Memories (1995),0|1|2|4
794,Of Mice and Men (1939),5|8
795,Star Trek: First Contact (1996),1|2|4
796,The Wizard of Oz (1939),0|2|5|8|32|49|74
797,Wild Things (1998),5|16|17|35|36|37|102
798,The Wrestler (2008),5|101
799,Star Trek Beyond (2016),1|2|4|6
800,Hotel Rwanda (2004),5|11
801,Brave (2012),0|26|32
802,To Kill a Mockingbird (1962),5|8|16|93
803,Insidious (2010),5|6|13|15|35
804,Son of Rambow (2007),5|23|26
805,Finding Neverland (2004),0|5|11
806,P.S. I Love You (2007),5|8|25
807,The Book of Eli (2010),1|6|20
808,North (1994),0|5|23|32
809,War Horse (2011),5|8|10
810,Alvin and the Chipmunks: The Squeakquel (2009),0|23|49|53|64
811,San Andreas (2015),1|40
812,Rambo (2008),1|5|10|21|121|139
813,Rushmore (1998),5|23|26|32|37
814,The Hurt Locker (2008),1|5|10|21|139
815,Fast & Furious (2009),1|52
816,Sense and Sensibility (1995),5|8|23|55
817,Public Enemies (2009),1|5|11|36|52
818,The Curious Case of Benjamin Button (2008),0|5|8|55
819,Brüno (2009),17|23
820,Everything You Always Wanted to Know About Sex * But Were Afraid to Ask (1972),8|62
821,The Santa Clause (1994),0|23|64
822,"Yours, Mine and Ours (2005)",23
823,Sin City: A Dame to Kill For (2014),1|5|6|16|36
824,Little Miss Sunshine (2006),5|17|23|98
825,Kick-Ass (2010),1|23|37|46
826,Laputa: Castle in the Sky (1986),0|2|53|91|129|130
827,Howl's Moving Castle (2004),0|2|4|5|8|91
828,Isle of Dogs (2018),23
829,Halloween II (2009),13|88
830,Poltergeist (1982),13|76
831,Exorcist II: The Heretic (1977),6|13
832,Saw (2003),13|16
833,Dr. Horrible's Sing-Along Blog (2008),24|49
834,Exit Through the Gift Shop (2010),23|109|139
835,Brick (2005),5|16|35|36|37|58
836,Oliver Twist (1948),5|8
837,X-Men: The Last Stand (2006),0|1|4|46
838,Ponyo (2008),0|2|53
839,Madagascar 3: Europe's Most Wanted (2012),23|53
840,Scooby-Doo (2002),0|2|35|73
841,Penguins of Madagascar (2014),1|23
842,The Royal Tenenbaums (2001),23|32
843,Monty Python's Life of Brian (1979),23|62
844,Reservoir Dogs (1992),5|28|34|58
845,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),8|10|23|39|80
846,Blade Runner 2049 (2017),1|4|5|6|19|22|35|36|38
847,Futurama: Bender's Big Score (2007),4|23|64|81
848,Monty Python Live at the Hollywood Bowl (1982),23|109
849,What's Eating Gilbert Grape (1993),5|23|26
850,Madagascar: Escape 2 Africa (2008),12|28|53
851,Trainspotting (1996),5|8|12|16|139
852,Love Actually (2003),24|25|64
853,Megamind (2010),4|23
854,Space Jam (1996),0|23|53|79|101
855,Brokeback Mountain (2005),5|17|55
856,Snowpiercer (2013),1|4|5|6|20|22
857,How the Grinch Stole Christmas (2000),0|2|8|23|49|53|64|74
858,Lucy (2014),1|4|68
859,Bridesmaids (2011),25|97
860,The Hunger Games: Mockingjay - Part 1 (2014),1|4|5|8|10
861,The Secret Life of Pets (2016),2|23|74
862,Gangs of New York (2002),5|16|45
863,Babe: Pig in the City (1998),0|23|32
864,The Hobbit: The Battle of the Five Armies (2014),0|1|2|8
865,Eye in the Sky (2015),5|6|10
866,The Messenger: The Story of Joan of Arc (1999),5|10|11|27|45|77
867,Any Given Sunday (1999),5
868,The Raid 2: Berandal (2014),1|16|67
869,Les Misérables (1998),5|8|16|55
870,The Bourne Identity (2002),1|8|21|48|75
871,Popeye (1980),25|49
872,Speed (1994),1|2|16|21
873,The Heat (2013),1|17|23|42
874,Captain Fantastic (2016),5|23|55
875,Stardust (2007),0|5|8|53
876,Naked Gun 33 1/3: The Final Insult (1994),18|65
877,Indiana Jones and the Kingdom of the Crystal Skull (2008),0|1|2|4|31
878,D2: The Mighty Ducks (1994),23|32
879,Ocean's Twelve (2004),1|23|34|35
880,My Best Friend's Wedding (1997),25
881,Ice Princess (2005),5|25|32|37|101
882,The Muppets (2011),23|49
883,Bruce Almighty (2003),0|5|23|25|32
884,"I, Tonya (2017)",5|11|39
885,The Man from U.N.C.L.E. (2015),1|12|23|34|48
886,Kung Fu Panda 3 (2016),1|2|23|53|67
887,Dogtown and Z-Boyz (2001),109
888,The Italian Job (2003),1|34|35
889,Jumanji: Welcome to the Jungle (2017),0|1|2|23|38
890,Rush (2013),1|5|11|101
891,Clash of the Titans (1981),0|1|2|53|56
892,"Batman: The Dark Knight Returns, Part 2 (2013)",1
893,Cloudy with a Chance of Meatballs (2009),0|23|28|40|53
894,Clueless (1995),17|25|26|37
895,Bridge to Terabithia (2007),0|2|5|8|53
896,Abraham Lincoln: Vampire Hunter (2012),0|1|5|6|8|13|78
897,The Hangover Part II (2011),17|60
898,The Hateful Eight (2015),5|51
899,The Sorcerer's Apprentice (2010),0|1|2|5|23
900,Bring It On (2000),23|37
901,Harry Potter and the Chamber of Secrets (2002),0|2|8|53
902,Easy A (2010),17|25|37
903,Amelie (2001),5|23|25
904,Star Trek VI: The Undiscovered Country (1991),1|2|4
905,Jonestown: The Life and Death of Peoples Temple (2006),109
906,Morning Glory (2010),5|23|25
907,Moll Flanders (1996),5|55
908,Where the Wild Things Are (2009),0|2|5|8|53
909,The Big Chill (1983),5|23|49
910,Nausicaä of the Valley of the Wind (1984),0|2|4|20|91|130
911,Moonrise Kingdom (2012),5|24|25|32|37
912,The Omen (1976),6|13|35
913,The Color Purple (1985),5|8|17|30
914,The Grudge (2004),1|13|56
915,About Time (2013),4|5|23|25|55
916,The Reader (2008),5|8|18|26|55
917,Departures (2008),5|49
918,My Father the Hero (1991),5|23|55
919,50 First Dates (2004),25
920,Mulan (1998),0|2|32|49|50|67
921,The Other Boleyn Girl (2008),5|8|11|55
922,Clerks II (2006),12|23
923,Scrooged (1988),0|8|25|64
924,Gladiator (2000),1|47
925,Volcano (1997),1|5|6|40
926,The Fast and the Furious: Tokyo Drift (2006),1|52
927,EDtv (1999),23
928,RoboCop (2014),1|4|6|22|38|46
929,Mallrats (1995),12|25
930,Louis C.K.: Live at the Beacon Theater (2011),None
931,The Green Hornet (2011),0|1|4|12|16|23|46
932,The Rock (1996),1|6|12|18|42
933,The Blind Swordsman: Zatoichi (2003),1|5
934,Equilibrium (2002),1|4|14|20|22
935,"See No Evil, Hear No Evil (1989)",12|16|23
936,Billy Madison (1995),25|26
937,Licence to Kill (1989),1|48|70
938,Punch-Drunk Love (2002),5|25|32
939,Cheaper by the Dozen (2003),8|23|53
940,Predator (1987),1|4|13|38
941,Air Force One (1997),1|6
942,The Expendables 2 (2012),1|6
943,Millions (2004),4|5|16|32|53|64
944,Battleship (2012),1|4|10|38|40
945,Lawless (2012),1|5|8|16
946,Vertigo (1958),5|6|16|28|33|35
947,Spy Game (2001),1|21|28|48|75
948,Wallace & Gromit in The Curse of the Were-Rabbit (2005),0|23|35|53
949,Teenage Mutant Ninja Turtles (2014),1|4|23|81
950,The Karate Kid (2010),32|5|67|53|101
951,City Hall (1996),5|16
952,"Dude, Where's My Car? (2000)",12|17|23
953,Miss Peregrine's Home for Peculiar Children (2016),0|2
954,Man of Steel (2013),1|4|6|46
955,European Vacation (1985),23
956,Meet the Fockers (2004),23
957,Ghost Rider: Spirit of Vengeance (2012),0|1|13|46
958,Pacific Rim (2013),1|2|38|41|46
959,Spy (2015),60
960,Crimson Tide (1995),1|5|6|10
961,Night of the Living Dead (1968),4|13|103
962,Unforgiven (1992),5|16|51
963,Your Highness (2011),0|12|23
964,The Mosquito Coast (1986),5|8
965,Erik the Viking (1989),0|2|8|23
966,Thelma & Louise (1991),2|16|32|68|97|98
967,The Big Sick (2017),25
968,How to Lose a Guy in 10 Days (2003),25
969,300 (2007),0|1|10
970,Monster House (2006),0|13|23|53|73
971,Kingdom of Heaven (2005),1|5|10|45|77
972,Black Rain (1989),1|5|6|42
973,Richard III (1995),5|8|22
974,Made in America (1993),23
975,Into the Wild (2007),5|8|11|43|98
976,Murder on the Orient Express (1974),5|8|16|35
977,Crank (2006),1|16|52
978,Contagion (2011),1|4|5|6|40
979,Henry V (1989),1|5|8|10|11|27|61|77
980,Point Break (1991),1|6|16|34|42|101
981,Shanghai Knights (2003),1|12|60
982,Die Hard 2 (1990),1|6|8|16|21|64
983,Saw II (2005),16|88|121
984,Armageddon (1998),1|2|4|5|38|40
985,Evolution (2001),4|23|41|81
986,The Breakfast Club (1985),5|26|32|37
987,The Usual Suspects (1995),1|5|6|28|33|34|35|36
988,Robin Hood (1973),0|12|23|49|50|74
989,Get Him to the Greek (2010),23
990,The Truman Show (1998),4|5|22|23|24|57
991,Die Hard (1988),1|8|21|34|64
992,Atonement (2007),5|8|10|55
993,Nutty Professor II: The Klumps (2000),4|25
994,A Nightmare on Elm Street 5: The Dream Child (1989),13|37|88
995,Amityville II: The Possession (1982),8|13
996,American Pie 2 (2001),25|37
997,Bad Moms (2016),23
998,Friday the 13th (1980),35|88|121|131
999,Friday the 13th Part VI: Jason Lives (1986),13|88|103
1000,Whiplash (2014),5|49
1001,Madagascar (2005),12|53|64
1002,RoboCop 3 (1993),1|4|46
1003,50/50 (2011),5|23
1004,GoldenEye (1995),1|21|48
1005,Psycho (1960),6|8|13|14|15|35|88
1006,We Need to Talk About Kevin (2011),5|6|8|55
1007,The Butterfly Effect (2004),0|4|5|14|52
1008,Sweeney Todd: The Demon Barber of Fleet Street (2007),5|6|16|49|88|105
1009,The Greatest Showman (2017),5|11|49|55
1010,Moonraker (1979),1|2|8|9|48
1011,The Muppet Movie (1979),23|49
1012,My Best Friend's Girl (2008),25
1013,Ride Along (2014),1|12|23|42
1014,Runaway Bride (1999),5|25
1015,Men in Black (1997),1|4|12|23|42
1016,Sinbad: Legend of the Seven Seas (2003),0|23|53
1017,The Bourne Legacy (2012),1|2|6|8|21|48
1018,Shark Tale (2004),16|23|53
1019,The Phantom of the Opera (2004),5|8|13|49|55
1020,"Honey, I Blew Up the Kid (1992)",4|23|81
1021,It's a Wonderful Life (1946),0|5|8|23|25|28|64
1022,The Game Plan (2007),23|53
1023,Meet the Parents (2000),25
1024,The Spiderwick Chronicles (2008),0|5|8|53
1025,8 Mile (2002),5|26|49|95
1026,Drive Me Crazy (1999),5|25|37
1027,Little Giants (1994),23
1028,Stakeout (1987),1|12|23|25|42
1029,Dawn of the Dead (2004),1|4|103|121
1030,Colors (1988),1|5|12|16|42|95
1031,Resident Evil: Extinction (2007),1|4|13|20|68|103
1032,Gilda (1946),5|6|55|58
1033,Chariots of Fire (1981),5|11|45|101
1034,A History of Violence (2005),1|5|8|52
1035,Zodiac (2007),5|8|35|43|52
1036,Wing Commander (1999),1|2|4
1037,A Million Ways to Die in the West (2014),23|51
1038,The Imaginarium of Doctor Parnassus (2009),0|2|35
1039,Cabin Fever (2002),73|121
1040,Helvetica (2007),109
1041,William Shakespeare's Romeo + Juliet (1996),1|5|37|55
1042,Bee Movie (2007),23
1043,The Crying Game (1992),5|14|16|17|55|75
1044,Sky High (2005),0|4|23|26|37|46|53
1045,A Cinderella Story (2004),25|37|53
1046,Becoming Jane (2007),5|11|55
1047,Enemy at the Gates (2001),1|5|10|55
1048,The Mummy Returns (2001),0|1|13
1049,Cry-Baby (1990),25|37|49
1050,A Scanner Darkly (2006),4|5|8|22
1051,Pirates of the Caribbean: Dead Men Tell No Tales (2017),0|31|59
1052,Sex and the City (2008),23|25|97
1053,Cujo (1983),5|6|8|13
1054,Just Married (2003),25
1055,Super 8 (2011),1|4|6|13|35|56
1056,Sideways (2004),5|12|25|32
1057,Flightplan (2005),5|6|35
1058,"Lock, Stock & Two Smoking Barrels (1998)",34
1059,Freaky Friday (1976),0|23|53
1060,The Dictator (2012),23
1061,Alfie (1966),5|8|25
1062,Mission: Impossible - Ghost Protocol (2011),1|6|48
1063,Wristcutters: A Love Story (2007),0|5|17|25
1064,Annie Hall (1977),5|23|25
1065,The Life Aquatic with Steve Zissou (2004),5|23
1066,Eragon (2006),0|1|2|8
1067,Dave (1993),5|25|32
1068,From Russia with Love (1963),1|8|48
1069,The Last Airbender (2010),0|1|46|53|67|133
1070,Neighbors (2014),23
1071,The Lost World: Jurassic Park (1997),1|2|4|8|38
1072,Identity Thief (2013),16|23
1073,Kick-Ass 2 (2013),1|23|37|39|46|62
1074,"Girl, Interrupted (1999)",5|8|11|26
1075,Taking Lives (2004),5|16
1076,The Bone Collector (1999),5|6|8|13|14|42
1077,Being John Malkovich (1999),0|5|17|23|32
1078,Ace Ventura: Pet Detective (1994),1|23
1079,17 Again (2009),0|25|26|37
1080,Saw IV (2007),121
1081,The Purge (2013),4|6|13|22
1082,In Bruges (2008),1|5|12|16|23|64
1083,12 Angry Men (1957),5|93
1084,Young Frankenstein (1974),4|8|13|73
1085,Gremlins (1984),13|23|56|64|73
1086,Election (1999),17|37
1087,Westworld (1973),1|4|6|13|22
1088,Big Fish (2003),0|5|8|23
1089,Breakfast on Pluto (2005),5|8|17|23
1090,WarGames (1983),5|6
1091,Harold and Maude (1971),5|12|25|32
1092,Dirty Rotten Scoundrels (1988),12|16|23
1093,Primal Fear (1996),5|8|16|36|93
1094,Atlantis: The Lost Empire (2001),0|1|2|4|5|26|50
1095,Twelve Monkeys (1995),20|22|36
1096,Kiss Kiss Bang Bang (2005),1|23|35|36|42|64
1097,The Jungle Book (1967),0|8|12|49|50
1098,The Philadelphia Story (1940),25|72
1099,"Planes, Trains & Automobiles (1987)",12|23
1100,2001: A Space Odyssey (1968),2|6|8|35|77
1101,National Treasure (2004),1|2|6|31|34
1102,Escape to Witch Mountain (1975),0|4|8|35|53
1103,Poltergeist III (1988),13
1104,Dirty Dancing (1987),5|37|49|55|110
1105,New Year's Eve (2011),25|64
1106,Spy Kids 2: The Island of Lost Dreams (2002),1|2|4|23|48|74
1107,Valentine's Day (2010),17|25
1108,Pollyanna (1960),5|23|32|53|55
1109,My Big Fat Greek Wedding (2002),25
1110,The Lego Batman Movie (2017),0|23|46
1111,Getting Even with Dad (1994),23
1112,Flushed Away (2006),12|23|53|74
1113,Four Christmases (2008),25|32|64
1114,The Twilight Saga: Breaking Dawn - Part 1 (2011),0|5|8|37|55|78
1115,Tyler Perry's Diary of a Mad Black Woman (2005),25|32|55
1116,House II: The Second Story (1987),13|73|103
1117,Home Alone 3 (1997),1|23|64
1118,Drag Me to Hell (2009),73
1119,Rain Man (1988),5|12|32
1120,Hollow Man (2000),1|4|6|8|13
1121,The Searchers (1956),5|10|51
1122,Ed (1996),0|12|23|53
1123,The Amityville Horror (1979),8|13|14
1124,Police Academy 4: Citizens on Patrol (1987),16|23
1125,The Little Rascals (1994),23|53
1126,Planet of the Apes (2001),1|4|8|20|22|38
1127,Rush Hour (1998),1|42|67
1128,Red (2010),1|23|48|52
1129,The Squid and the Whale (2005),5|23|26
1130,Saw V (2008),121
1131,Confidence (2003),34|52
1132,Jackie Brown (1997),5|8|16|34
1133,2012 (2009),1|4|40
1134,The Poseidon Adventure (1972),1|5|6|8|40
1135,Incredibles 2 (2018),1|2|23|46
1136,The Three Musketeers (1993),1|2|8|23|25|59
1137,Rush Hour 2 (2001),1|42|67
1138,Bulletproof Monk (2003),0|1|12|67
1139,Family Guy Presents Stewie Griffin: The Untold Story (2005),4|81
1140,3:10 to Yuma (2007),5|16|51
1141,127 Hours (2010),5|8|11|43
1142,Willow (1988),0
1143,The Emperor's New Groove (2000),12|28|49|50
1144,X2: X-Men United (2003),0|1|4|38|46
1145,Sex Tape (2014),23
1146,Back to the Future Part III (1990),4|23|37|51
1147,Pet Sematary (1989),8|13|103
1148,Cowboys & Aliens (2011),1|4|6|8|38|41|51
1149,The Notebook (2004),5|8|26|55
1150,Bridget Jones's Diary (2001),8|23|25|54|64
1151,Unfaithful (2002),5|52|87|102
1152,The Lives of Others (2006),5|6|75
1153,Intouchables (2011),5|8|11|23
1154,The First Wives Club (1996),25|97
1155,Jane Eyre (1996),5|55
1156,Analyze This (1999),16|23|35
1157,Ghostbusters (2016),0|4|73
1158,Cool Hand Luke (1967),5|8|18
1159,Night of the Creeps (1986),4|23|73|114
1160,Arachnophobia (1990),4|13|23|73
1161,Scary Movie 4 (2006),13|32|73
1162,AVP: Alien vs. Predator (2004),1|4|13|79
1163,Radio (2003),5|11|23|101
1164,10 Things I Hate About You (1999),25|26|32|37
1165,Murder on the Orient Express (2017),5|16|35
1166,Moulin Rouge (2001),5|25|49
1167,Peter Pan (1953),0|2|8|49|50
1168,Invincible (2006),5|11|27|101
1169,"I Love You, Man (2009)",12|25
1170,Percy Jackson & the Olympians: The Lightning Thief (2010),0|1|2|8|37
1171,Little Fockers (2010),23|64
1172,Julie & Julia (2009),5|11|25|32
1173,Midnight in Paris (2011),0|4|25
1174,Wild (2014),2|5|8|11
1175,Psycho (1998),6|8|13|17|35|88
1176,Street Fighter (1994),1|4|67|107
1177,Fifty Shades of Grey (2015),5|8|55|87
1178,The Manchurian Candidate (1962),5|6|8|10|58|75|118
1179,Casper (1995),0|23|32|53|73|76
1180,Charlotte's Web (2006),8|23|53
1181,Step Brothers (2008),12|23
1182,The Tin Drum (1979),5|8|10
1183,Little Shop of Horrors (1986),4|13|23|49|73|81
1184,Natural Born Killers (1994),5|16|18|35|54|70
1185,Everything Is Illuminated (2005),5|8|11|32
1186,Deep Impact (1998),4|5|40
1187,Boyhood (2014),5|26
1188,Birdman: Or (2014),5|23
1189,The Proposition (2005),5|16|51
1190,Man on Wire (2008),11|109
1191,The Fall (2006),0|5
1192,Panic Room (2002),5|13|52
1193,Bambi (1942),0|5|8|26|49|50|53
1194,Brazil (1985),0|4|22|23|36|64|81
1195,Rat Race (2001),31|65
1196,Heima (2007),49|109
1197,Final Destination (2000),6|13|37|88
1198,Anchorman 2: The Legend Continues (2013),17|23
1199,Sharknado (2013),4|13|38|40|56
1200,Choke (2008),5|8|23
1201,The Final Destination (2009),13
1202,Spy Kids (2001),1|23|48
1203,Jurassic Park III (2001),1|2|4|13
1204,Spaceballs (1987),2|4|23|62|81
1205,Escape from L.A. (1996),1|4|20|22
1206,Red Dragon (2002),5|6|8|14|16|52|126
1207,Payback (1999),1|5|6|8|34|36
1208,A Prophet (2009),5|6|7|18
1209,Macbeth (1971),5
1210,Escape Plan (2013),1|6|18
1211,The Princess Diaries 2: Royal Engagement (2004),23|25|37
1212,Lady and the Tramp (1955),0|25|49|50
1213,Dune,None
1214,Talk to Her (2002),5|23|55
1215,8 1/2 (1963),5|32
1216,The Prince of Egypt (1998),5|26|49|50|55
1217,The Princess Bride (1987),0|8|25
1218,"Paris, I Love You (2006)",5|17|23|32|55|78
1219,Minions (2015),23|34|53
1220,Legally Blonde (2001),23
1221,The Twilight Saga: Eclipse (2010),0|5|8|37|55|78
1222,Gone in 60 Seconds (2000),1|6|34
1223,Private Parts (1997),8|11|23
1224,Horrible Bosses 2 (2014),23
1225,What Happens in Vegas... (2008),25
1226,Rock of Ages (2012),5|17|25|32|49
1227,American Gangster (2007),5|11|52|95
1228,Dumbo (1941),0|8|12|49|50
1229,Love Affair (1994),5|25|32|55
1230,Scenes From a Marriage (1973),5
1231,Incendies (2010),5|35
1232,The Queen (2006),5|11|43
1233,Pumpkinhead (1988),0|13|56
1234,Johnny English (2003),1|48|62
1235,The Town (2010),5|34|52
1236,Machete (2010),1|2|6|35|68
1237,Hostage (2005),1|5|6|8|35|52|55
1238,Body of Lies (2008),1|5|6|8|48|75
1239,His Girl Friday (1940),5|25|32|72
1240,The Island (2005),1|4|20|22
1241,The Family Man (2000),0|5|25|32|64
1242,Smokin' Aces (2006),1|16|17|52
1243,Hackers (1995),5|6|16|37|52|82
1244,The Secret Life of Walter Mitty (2013),0|5|23
1245,The Way of the Dragon (1972),1|67
1246,The Spy Who Loved Me (1977),1|2|6|8|48
1247,Madonna: Truth or Dare (1991),17|109
1248,An Ideal Husband (1999),8|23|25|27|61
1249,The Women (1939),5|17|23|32|97
1250,Herbie: Fully Loaded (2005),0|23|74
1251,Psycho II (1983),6|13|35
1252,The Parent Trap (1998),8|25|32|54|72|74
1253,Audition (1999),5|13|15
